Name,Cuisines,Cost,avg_rating,review_count,tags,Collections,Timings,Links,Popular Dishes
Prism Club & Kitchen,"Kebab, Continental, Italian, North Indian",1200.0,4.22,100.0,"Kebab, Continental, Italian, North Indian Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events ","Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events",5pm to 12midnight (Mon-Sun),https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,
Shree Santosh Dhaba Family Restaurant,"North Indian, Chinese, Fast Food",500.0,2.83,100.0,"North Indian, Chinese, Fast Food  ",,11 AM to 11:30 PM,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,
Dine O China,"Chinese, Asian, Momos",850.0,3.37,100.0,"Chinese, Asian, Momos  ",,11:30AM to 11PM (Mon-Sun),https://www.zomato.com/hyderabad/dine-o-china-gachibowli,
Hyderabad Chefs,"North Indian, Chinese",600.0,3.81,100.0,"North Indian, Chinese  ",,12 Noon to 10:30 PM,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,
Komatose - Holiday Inn Express & Suites,"North Indian, Chinese, Japanese, Sushi",1500.0,3.69,100.0,"North Indian, Chinese, Japanese, Sushi Happy Hours, Top-Rated, Gold Curated ","Happy Hours, Top-Rated, Gold Curated",1 PM to 11 PM,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,
Aromas@11SIX,"North Indian, Chinese, Mughlai, Biryani",750.0,3.46,100.0,"North Indian, Chinese, Mughlai, Biryani  ",,11:30 AM to 12 Midnight,https://www.zomato.com/hyderabad/aromas11six-gachibowli,
Yum Yum Tree - The Arabian Food Court,"North Indian, Hyderabadi",1200.0,3.56,100.0,"North Indian, Hyderabadi Food Hygiene Rated Restaurants in Hyderabad ",Food Hygiene Rated Restaurants in Hyderabad,12 Noon to 12 Midnight,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,
The Tilt Bar Republic,"North Indian, Continental, Italian",1500.0,3.84,100.0,"North Indian, Continental, Italian Gigs and Events, Corporate Favorites ","Gigs and Events, Corporate Favorites",12noon to 12midnight (Mon-Sun),https://www.zomato.com/thetiltbarrepublic,
The Indi Grill,"BBQ, Asian, Modern Indian",1500.0,4.6,100.0,"BBQ, Asian, Modern Indian Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest ","Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest",12noon to 11pm (Mon-Sun),https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,
Urban Asia - Kitchen & Bar,"Asian, Thai, Chinese, Sushi, Momos",1100.0,3.65,100.0,"Asian, Thai, Chinese, Sushi, Momos  ",,"12 Noon to 3 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,
Eat India Company,"North Indian, Mughlai, Beverages",1300.0,3.26,100.0,"North Indian, Mughlai, Beverages  ",,"12 Noon to 3 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/eat-india-company-gachibowli,
Labonel,"Bakery, Desserts",1000.0,3.92,100.0,"Bakery, Desserts Best Bakeries ",Best Bakeries,"11 AM to 8 PM (Mon-Sat), Sun Closed",https://www.zomato.com/hyderabad/labonel-gachibowli,
Driven Cafe,"Cafe, Fast Food, Beverages",600.0,3.74,100.0,"Cafe, Fast Food, Beverages  ",,4 AM to 12 Midnight,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,
Faasos,"Fast Food, Biryani, Desserts",600.0,3.03,100.0,"Fast Food, Biryani, Desserts  ",,9 AM to 1 AM,https://www.zomato.com/hyderabad/faasos-gachibowli,
Royal Spicy Restaurant,"North Indian, South Indian",700.0,3.74,100.0,"North Indian, South Indian  ",,10:30 AM to 11 PM,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,
The Old Madras Baking Company,Bakery,350.0,3.62,99.0,Bakery  ,,7 AM to 11 PM,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,
Squeeze @ The Lime,"Italian, North Indian, Chinese, Salad",650.0,3.82,100.0,"Italian, North Indian, Chinese, Salad Veggie Friendly ",Veggie Friendly,"7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,
Khaan Saab,"North Indian, Mughlai",1100.0,3.8,100.0,"North Indian, Mughlai New on Gold ",New on Gold,"12 Noon to 3:30 PM, 7 PM to 11:30 PM",https://www.zomato.com/hyderabad/khaan-saab-gachibowli,
Olive Garden,"North Indian, Chinese, Continental, Biryani",700.0,3.76,100.0,"North Indian, Chinese, Continental, Biryani  ",,"12 Noon to 3:30 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/olive-garden-gachibowli,
Tandoori Food Works,"North Indian, Burger, Kebab",500.0,3.27,100.0,"North Indian, Burger, Kebab Brilliant Biryanis ",Brilliant Biryanis,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,
Delhi-39,"North Indian, Chinese",600.0,2.98,100.0,"North Indian, Chinese  ",,11am to 11pm (Mon-Sun),https://www.zomato.com/hyderabad/delhi-39-gachibowli,
Al Saba Restaurant,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",750.0,3.16,100.0,"North Indian, Chinese, Seafood, Biryani, Hyderabadi  ",,6 AM to 11:30 PM,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,
GD's,"Burger, American",500.0,3.96,100.0,"Burger, American  ",,11:30 AM to 5 AM,https://www.zomato.com/hyderabad/gds-gachibowli,
T Grill,"North Indian, Andhra, Biryani, Chinese",700.0,3.17,100.0,"North Indian, Andhra, Biryani, Chinese  ",,"12:30 PM to 3:30 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/t-grill-gachibowli,
Momos Delight,Momos,200.0,3.72,100.0,Momos  ,,6pm to 2am (Mon-Sun),https://www.zomato.com/hyderabad/momos-delight-gachibowli,
The Chocolate Room,"Cafe, Desserts",600.0,2.83,100.0,"Cafe, Desserts  ",,10 AM to 12 Midnight,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,
American Wild Wings,"American, Fast Food, Salad, Burger",600.0,3.97,77.0,"American, Fast Food, Salad, Burger Food Hygiene Rated Restaurants in Hyderabad ",Food Hygiene Rated Restaurants in Hyderabad,12 Noon to 4 AM,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,
Domino's Pizza,"Fast Food, Pizza",400.0,3.09,100.0,"Fast Food, Pizza  ",,11 AM to 11 PM,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,
Mohammedia Shawarma,"Street Food, Arabian",150.0,2.99,100.0,"Street Food, Arabian  ",,1 PM to 1 AM,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,
Arena Eleven,Continental,1600.0,4.12,85.0,Continental New on Gold ,New on Gold,12 Noon to 12 Midnight,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,
Cascade - Radisson Hyderabad Hitec City,"North Indian, Italian, Continental, Asian",1800.0,4.26,100.0,"North Indian, Italian, Continental, Asian  ",,24 Hours,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,
Collage - Hyatt Hyderabad Gachibowli,"Continental, Italian, North Indian, Chinese, Asian",2800.0,3.41,100.0,"Continental, Italian, North Indian, Chinese, Asian Sunday Brunches ",Sunday Brunches,24 Hours (Mon-Sun),https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,
Zing's Northeast Kitchen,"North Eastern, Momos",550.0,3.65,100.0,"North Eastern, Momos  ",,"11:30 AM to 4 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,
Dunkin' Donuts,"Desserts, Cafe, Beverages, Burger, Fast Food",550.0,3.1,100.0,"Desserts, Cafe, Beverages, Burger, Fast Food  ",,10 AM to 11 PM,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,
Desi Bytes,"North Indian, Chinese",400.0,2.9,100.0,"North Indian, Chinese  ",,"1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",https://www.zomato.com/hyderabad/desi-bytes-gachibowli,
Hyderabadi Daawat,"Hyderabadi, Chinese, Mughlai",600.0,3.83,100.0,"Hyderabadi, Chinese, Mughlai Food Hygiene Rated Restaurants in Hyderabad ",Food Hygiene Rated Restaurants in Hyderabad,12:30pm to 11:30pm (Mon-Sun),https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,
Zega - Sheraton Hyderabad Hotel,"Asian, Sushi",1750.0,4.45,100.0,"Asian, Sushi  ",,12Noon to 2AM (Mon-Sun),https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,
Triptify,North Indian,400.0,3.55,100.0,North Indian  ,,11 AM to 11 PM,https://www.zomato.com/hyderabad/triptify-gachibowli,
Chinese Pavilion,"Chinese, Seafood",1000.0,3.74,100.0,"Chinese, Seafood  ",,"12 Noon to 3:30 PM, 7 PM to 11 PM",https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,
